id,Page,Content
7895,5,"III. Catatan atas Laporan Keuangan  
Penjelasan Umum 

A.  A.1. Dasar Hukum 

A.2. Kebijakan Teknis Kementerian Keuangan 
A.3. Pendekatan Penyusunan Laporan Keuangan 
A.4. Kebijakan Akuntansi 
Penjelasan atas Pos-pos Laporan Realisasi Anggaran 

B.  B.1. Pendapatan Negara dan Hibah 

B.2. Belanja Negara 
B.3. Catatan Penting Lainnya 
Penjelasan atas Pos-pos Neraca 

C.  C.1. Aset Lancar 

C.2. Aset Tetap 
C.3. Piutang Jangka Panjang 
C.4. Aset Lainnya 
C.5. Kewajiban Jangka Pendek 
C.6. Ekuitas Dana Lancar 
C.7. Ekuitas Dana Investasi 
C.8. Catatan Penting Lainnya 
Pengungkapan Penting Lainnya 

D.  D.1. Temuan dan Tindak Lanjut Temuan BPK 

D.2. Rekening Pemerintah 
D.3. Informasi Pendapatan dan Belanja secara Akrual 
D.4. Rekapitulasi Piutang Negara Instansi Pemerintah/Lembaga Negara"
1224,6,"Nomor  PER-57/PB/2013 

LRA Pendapatan dan LRA PengembalianPendapatan 
•  LRA Belanja  dan LRA PengembalianBelanja 
•  NeracaPercobaan 
•  Laporan Barang Pengguna 
Laporan Barang Pengguna Tahunan 

•  Laporan Posisi BMN di Neraca 

Lampiran Tindak Lanjut atas Temuan BPK 

•  Daftar Informasi Pendapatan dan Belanja secara Akrual 

Lampiran-Lampiran Lain"
1656,6,"i)  Pusat Investasi Pemerintah (PIP) 
ii)  Lembaga Pengelola Dana Pendidikan (LPDP) 
iii)  Sekolah Tinggi Akuntansi Negara (STAN) 
2.  Laporan Keuangan Lembaga Non Struktural:  
Komite Standar Akuntansi Pemerintah (KSAP) 

3.  Laporan Rekening Pemerintah 
4.  Berita Acara Rekonsiliasi Penerimaan Perpajakan 
5.  Berita Acara Rekonsiliasi Aset Tetap 
6.  Berita Acara Rekonsiliasi TP/TGR 
7.  Rincian Piutang Pajak 
8.  Rincian SP3DRI"
134,7,"Tabel 1 
Tabel 2 
Tabel 3 

Tabel 4 
Tabel 5 
Tabel 6 
Tabel 7 

Tabel 8 
Tabel 9 

Tabel 10 
Tabel 11 

Tabel 12 
Tabel 13 

Tabel 14 
Tabel 15 
Tabel 16 

Tabel 17 
Tabel 18 

Tabel 19 
Tabel 20 

Tabel 21 

Tabel 22 
Tabel 23 
Tabel 24 

Tabel 25 
Tabel 26 

Tabel 27 

Tabel 28 
Tabel 29 
Tabel 30 
Tabel 31 

Tabel 32 

Tabel 33 

Tabel 34 
Tabel 35 
Tabel 36 
Tabel 37 
Tabel 38 

Tabel 39 

Tabel 40 
Tabel 41 
Tabel 42"
7925,7,"Ringkasan Laporan Realisasi Anggaran  TA 2014 dan 2013 
Ringkasan Neraca per 31 Desember 2014 dan 31 Desember 2013 
Rekapitulasi  Jumlah  Satker  yang  Menyampaikan  Laporan  Keuangan 
Menurut Eselon 1 
Penggolongan Kualitas Piutang 
Rincian Estimasi Pendapatan dan Realisasi Pendapatan  TA 2014 
Rincian Realisasi Pendapatan Bruto TA 2014 
Perbandingan  Pendapatan  Negara  dan  Hibah  Neto  TA  2014  dan  TA 
2013 
Realisasi Pendapatan Neto Per Unit Eselon I TA 2014 
Perbandingan  Realisasi  Pendapatan"
2719,7,"TA  2014 
dan 2013 
Realisasi Pendapatan Neto Per Jenis Penerimaan  TA 2014 
Perbandingan Realisasi Pendapatan Per Jenis Penerimaan  TA 2014 dan 
2013 
Realisasi Penerimaan Perpajakan Neto TA 2014 
Perbandingan  Realisasi  Penerimaan  Perpajakan  Neto  Per  Jenis 
Penerimaan TA 2014 dan 2013 
Realisasi Penerimaan Perpajakan Per Jenis Penerimaan Bruto TA 2014 
Realisasi Penerimaan Perpajakan Per Jenis Penerimaan Neto TA 2014 
Perbandingan  Realisasi  Pendapatan  Pajak  Dalam  Negeri  Neto  TA  2014 
dan TA 2013 
Realisasi Pendapatan Pajak Dalam Negeri Bruto TA 2014 
Realisasi  Pengembalian  Pendapatan  Pajak  Dalam  Negeri  TA  2014  dan 
2013 
Realisasi Pendapatan Pajak Perdagangan Internasional Neto 
Realisasi  Pendapatan  dan  Pengembalian  Pajak  Perdagangan 
Internasional Bruto TA 2014 
Perbandingan  Realisasi  Pendapatan  Pajak  Perdagangan  Internasional 
Neto TA 2014 dan 2013 
Realisasi Penerimaan Negara Bukan Pajak Neto TA 2014 
Realisasi dan Pengembalian Penerimaan Negara Bukan Pajak TA 2014 
Perbandingan Realisasi Penerimaan Negara Bukan Pajak Neto TA 2014 
dan 2013 
Rincian Pendapatan PNBP Lainnya Neto TA 2014 
Rincian  Realisasi  Bruto  dan  Pengembalian  Pendapatan  PNBP  Lainnya 
TA 2014 
Perbandingan  Realisasi  Pendapatan  PNBP  Lainnya  Neto  TA  2014  dan 
2013 
Realisasi Pendapatan BLU Neto TA 2014 
Perbandingan Realisasi Pendapatan BLU Neto TA 2014 dan 2013 
Realisasi Pendapatan BLU Neto TA 2014 Berdasarkan Satuan Kerja 
Perbandingan  Pagu  dan  Realisasi  Belanja  Menurut  Sumber  Dana  TA 
2014 
Perbandingan  Realisasi  Belanja  Menurut  Sumber  Dana  TA  2014  dan 
2013 
Perbandingan  Pagu  dan  Realisasi  Belanja  Menurut  Unit  Eselon  I"
8776,7,"TA 
2014 
Perbandingan Realisasi Belanja Menurut Unit Eselon I TA 2014 dan 2013 
Perbandingan Pagu dan Realisasi Belanja Menurut Fungsi TA 2014 
Perbandingan Realisasi Belanja Menurut Fungsi TA 2014 dan 2013 
Rincian Anggaran dan Realisasi Belanja Menurut Program TA 2014 
Perbandingan  Pagu  dan  Realisasi  Belanja  Menurut  Jenis  Belanja  TA 
2014 
Perbandingan Realisasi Belanja Menurut Jenis Belanja TA 2014 dan TA 
2013 
Perbandingan Pagu dan Realisasi Belanja Pegawai TA 2014 
Perbandingan Realisasi Belanja Pegawai TA 2014 dan 2013 
Perbandingan Pagu dan Realisasi Belanja Pegawai Per Eselon I TA 2014"
9603,8,"Tabel 43  
Tabel 44 
Tabel 45 
Tabel 46 
Tabel 47  
Tabel 48 
Tabel 49  
Tabel 50 
Tabel 51 
Tabel 52 
Tabel 53 
Tabel 54 

Tabel 55 

Tabel 56 

Tabel 57 

Tabel 58 
Tabel 59 
Tabel 60 
Tabel 61 
Tabel 62 

Tabel 63 

Tabel 64 
Tabel 65 

Tabel 66 

Tabel 67 

Tabel 68 

Tabel 69 
Tabel 70 
Tabel 71 

Tabel 72 

Tabel 73 

Tabel 74 

Tabel 75 

Tabel 76 

Tabel 77 

Tabel 78"
8078,8,"Tabel 79 

Tabel 80 

Tabel 81 

Tabel 82 

Perbandingan Belanja Pegawai per Eselon I TA 2014 dan TA 2013 
Perbandingan Pagu dan Realisasi Belanja Barang TA 2014 
Perbandingan Realisasi Belanja Barang TA 2014 dan 2013 
Perbandingan Pagu dan Realisasi Belanja Barang Per Eselon I TA 2014 
Perbandingan Belanja Barang Per Eselon I TA 2014 dan TA 2013 
Perbandingan Pagu dan Realisasi Belanja Modal TA 2014 
Perbandingan Realisasi Belanja Modal TA 2014 dan 2013 
Perbandingan Pagu dan Realisasi Belanja Modal Per Eselon I TA 2014 
Perbandingan Realisasi Belanja Modal TA 2014 dan 2013 
Komposisi Neraca Per 31 Desember 2014 dan 31 Desember 2013 
Aset Lancar Per 31 Desember 2014 dan 31 Desember 2013 
Kas di Bendahara Pengeluaran Per Eselon I Per 31 Desember 2014 dan 
31 Desember 2013 
Kas di Bendahara Penerimaan Per Eselon I Per 31 Desember  2014 dan 
31 Desember 2013 
Kas Lainnya dan Setara Kas Per Eselon I Per 31 Desember 2014 dan 31 
Desember 2013 
Kas  pada  Badan  Layanan  Umum  Per  Eselon  I  Per  31  Desember  2014 
dan 31 Desember 2013 
Rincian Kas pada BLU Sekretariat Jenderal 
Rincian Kas pada BLU PIP 
Rincian Kas pada BLU LPDP 
Rincian Kas pada BLU STAN 
Belanja  Dibayar  Dimuka  Per  Eselon  I  Per  31  Desember  2014  dan  31 
Desember 2013 
Uang  Muka  Belanja  Per  Eselon  I  Per  31  Desember  2014  dan  31 
Desember 2013 
Piutang Pajak Bruto Per Unit Eselon I Per 31 Desember 2014 
Piutang  Pajak  Neto  Per  Unit  Eselon  I  Per  31  Desember  2014  dan  31 
Desember 2013 
Rincian  Piutang  Pajak  Per  Jenis  Pajak  Yang  Dicatat  di  DJP  Per  31 
Desember 2014 dan 31 Desember 2013 
Rincian  Piutang  Pajak  Berdasarkan  Umur  Piutang  Per  31  Desember 
2014 
Rincian  Piutang  Pajak  Per  Jenis  Pajak  Yang  Dicatat  di  DJBC  Per  31 
Desember 2014 
Rincian Piutang Pajak Berdasarkan Umur Piutang  
Penyisihan Piutang Tak Tertagih Per 31 Desember 2014 
Piutang  PNBP  Bruto  Per  Unit  Eselon  I  Per  31  Desember  2014  dan  31 
Desember 2013"
9393,8,"Piutang  PNBP  Neto  Per  Unit  Eselon  I  Per  31  Desember  2014  dan  31 
Desember 2013 
Rincian  Piutang  Bukan  Pajak  di  BPPK  Per  31  Desember  2014  dan  31 
Desember 2013 
Rincian  Penyisihan  Piutang  PNBP  Per  Unit  Eselon  I  Per  31  Desember 
2014 dan 31 Desember 2013 
Bagian  Lancar  Tagihan  Tuntutan  Ganti  Rugi  Bruto  Per  Eselon  I  Per  31 
Desember 2014 dan 31 Desember 2013 
Penyisihan Bagian Lancar Tagihan Tuntutan Ganti Rugi Per Eselon I Per 
31 Desember 2014 
Rincian  Penyisihan  Bagian  Lancar  Tagihan  Tuntutan  Ganti  Rugi  Per 
Kualitas Piutang Per 31 Desember 2014 
Piutang  dari  Kegiatan  Operasional  BLU  Bruto  Per  Eselon  I  Per  31 
Desember 2014 dan 31 Desember 2013 
Rincian Piutang dari Kegiatan Operasional BLU BPPK-STAN 
Per 31 Desember 2014 
Penyisihan  Piutang  dari  Kegiatan  Operasional  BLU  Per  Eselon  I  Per  31 
Desember 2014 
Rincian  Piutang  dari  Kegiatan  Operasional  BLU  BPPK-STAN  Per  31 
Desember 2014 
Piutang  dari  Kegiatan  Non  Operasional  BLU  Bruto  Per  Eselon  I  Per  31 
Desember 2014 dan 31 Desember 2013"
