id,Page,Content
597,14,":  Anggaran Pendapatan dan Belanja Negara 

:  Anggaran Pendapatan dan Belanja Negara Perubahan 

:  Badan Layanan Umum 

:  Bea masuk Ditanggung Pemerintah 

:  Badan Pemeriksa Keuangan 

BPDPKS 

:  Badan Pengelola Dana Perkebunan Kelapa Sawit 

:  BendaharaUmum Negara 

:  Daftar Isian Pelaksanaan Anggaran 

:  Dana Pengembangan Pendidikan Nasional 

:  Lembaga Manajemen Aset Negara 

:  Laporan Realisasi Anggaran 

:  Mata Anggaran Penerimaan/Pengeluaran 

:  Modul Penerimaan Negara 

:  Penerimaan Negara Bukan Pajak 

:  Sistem Akuntansi Instansi 

:  Sistem Akuntansi Umum 

:  Sistem Akuntansi Keuangan 

:  Standar Akuntansi Pemerintahan 

:  Surat Kuasa Pengguna Anggaran 

:  Tahun Anggaran 

:  Tahun Anggaran Berjalan 

:  Tahun Anggaran Yang Lalu 

:  Tuntutan Ganti Rugi 

:  Tagihan Penjualan Angsuran 

:  Uang Persediaan 

:  Treasury Notional Pooling"
8230,15,":  Direktorat Jenderal Anggaran 

:  Direktorat Jenderal Pajak 

:  Direktorat Jenderal Bea dan Cukai 

:  Direktorat Jenderal Perimbangan Keuangan 

:  Direktorat Jenderal Pengelolaan Utang 

:   Direktorat Jenderal Perbendaharaan 

:  Direktorat Jenderal Kekayaan Negara 

:  Badan Pendidikan dan Pelatihan Keuangan 

:  Badan Kebijakan Fiskal 

:   Pusat Investasi Pemerintah 

:  Sekolah Tinggi Akuntansi Negara"
3739,16,"Realisasi  Pendapatan  Negara  dan  Hibah  sampai  dengan  31  Desember  2018  sebesar  
Rp1.539.713.970.066.291,00  atau  mencapai  94,32  persen  dari  estimasi  Pendapatan-LRA 
sebesar Rp1.632.479.872.321.277,00. Jumlah tersebut terdiri dari Penerimaan Pajak sebesar 
Rp1.518.791.948.865.511,00  atau  mencapai  93,86  persen  dari  target  yang  ditetapkan  dan 
Penerimaan Negara Bukan Pajak sebesar  Rp20.922.021.200.780,00 atau mencapai 145,45 
persen dari target yang ditetapkan"
3303,16,"Realisasi  Belanja  Negara  sampai  dengan  31  Desember  2018  adalah  sebesar 
Rp39.900.468.088.665,00  atau  mencapai  84,92  persen  dari  alokasi  anggaran  sebesar 
Rp46.987.862.720.000,00.  Jumlah  realisasi  Belanja  tersebut  terdiri  dari  realisasi  Belanja 
Pegawai  sebesar  Rp20.361.276.169.469,00  atau  97,38  persen  dari  anggarannya,  Belanja 
Barang sebesar Rp17.744.369.417.285,00 atau 74,69 persen dari anggarannya dan Belanja 
Modal sebesar Rp1.794.822.501.911,00 atau 77,29 persen dari anggarannya"
2179,16,"Tabel 1 
Ringkasan Laporan Realisasi Anggaran s.d. 31 Desember 2018 dan 31 Desember 2017 

31 Desember 2018

31 Desember 2017

(dalam rupiah) 

Anggaran

Realisasi

Anggaran

Realisasi

1.632.479.872.321.2771.539.713.970.066.2911.485.841.788.636.9691.362.039.244.724.371

1.618.095.493.162.0001.518.791.948.865.5111.472.709.861.674.9751.343.529.642.786.441
18.509.601.937.930"
6609,16,"-

1.632.479.872.321.2771.539.713.970.066.2911.485.841.788.636.9691.362.039.244.724.371

46.987.862.720.000
20.908.396.593.000
23.757.374.945.000
2.322.091.182.000
46.987.862.720.000

39.900.468.088.665
20.361.276.169.469
17.744.369.417.285
1.794.822.501.911
39.900.468.088.665

42.952.412.288.000
17.941.906.376.000
23.710.302.621.000
1.300.203.291.000
42.952.412.288.000

40.384.903.626.906
17.284.051.723.036
21.960.137.442.737
1.140.714.461.133
40.384.903.626.906"
9870,17,"Laporan Operasional menyajikan berbagai unsur pendapatan-LO, beban, surplus/defisit dari 
operasi, surplus/defisit dari kegiatan non operasional, surplus/defisit sebelum pos luar biasa, 
pos  luar  biasa,  dan  surplus/defisit-LO,  yang  diperlukan  untuk  penyajian  yang  wajar. 
Pendapatan  operasional  untuk  periode  sampai  dengan  31  Desember  2018  adalah  sebesar 
Rp1.521.657.589.406.736,00  sedangkan 
jumlah  beban  operasional  adalah  sebesar 
Rp48.384.485.610.750,00  sehingga  terdapat  Surplus  dari  Kegiatan  Operasional  senilai 
Rp1.473.273.103.795.986,00.  Kegiatan  Non  Operasional  dan  Pos-Pos  Luar  Biasa  masing-
masing  surplus  sebesar  Rp142.605.139.099,00  dan  Rp0,00  sehingga  entitas  mengalami 
Surplus-LO sebesar Rp1.473.415.708.935.085,00"
6739,18,"Tabel 3 
Laporan Operasional per 31 Desember 2018 dan 31 Desember 2017 

Uraian

Tanggal LO

Kenaikan/(Penurunan)

31 Desember 2018
(Rp)

31 Desember 2017
(Rp)

(Rp)

%

(dalam rupiah) 

KEGIATAN OPERASIONAL
Pendapatan Operasional
  Pendapatan Perpajakan
  PNBP
Beban Operasional
SURPLUS (DEFISIT) DARI KEGIATAN 
OPERASIONAL
KEGIATAN NON OPERASIONAL
Surplus (Defisit) Pelepasan Aset Non Lancar
Surplus (Defisit) Penyelesaian Kewajiban 
Jangka Panjang
Surplus (Defisit) dari Kegiatan Non 
Operasional Lainnya
SURPLUS (DEFISIT) DARI KEGIATAN 
NON OPERASIONAL
POS LUAR BIASA
SURPLUS (DEFISIT) LO"
3393,18,"D.  LAPORAN PERUBAHAN EKUITAS 

Laporan  Perubahan  Ekuitas  menyajikan  informasi  kenaikan  atau  penurunan  ekuitas  tahun 
pelaporan  dibandingkan  dengan  tahun  sebelumnya.  Ekuitas  pada  tanggal  01  Januari  2018 
sebesar 
adalah 
sebesar 
Rp1.473.415.708.935.085,00 
sebesar 
Rp29.882.528.876.262,00 dan transaksi antar entitas sebesar Rp(1.488.350.007.052.967,00) 
sehingga  Ekuitas  entitas  pada 
senilai 
Rp73.514.668.353.763,00"
4148,19,"E.  CATATAN ATAS LAPORAN KEUANGAN 

Catatan atas Laporan Keuangan (CaLK) menyajikan informasi tentang penjelasan atau daftar 
terinci  atau  analisis  atas  nilai  suatu  pos  yang  disajikan  dalam  Laporan  Realisasi  Anggaran, 
Neraca, Laporan Operasional, dan Laporan Perubahan Ekuitas. Termasuk pula dalam CaLK 
adalah  penyajian  informasi  yang  diharuskan  dan  dianjurkan  oleh  Standar  Akuntansi 
Pemerintahan  serta  pengungkapan-pengungkapan  lainnya  yang  diperlukan  untuk  penyajian 
yang wajar atas laporan keuangan"
4175,20,"94,32

1.362.039.244.724.371

2.

HIBAH

B.BELANJA

Belanja Pegawai
Belanja Barang

Belanja Operasi
1.
2.
Jumlah Belanja Operasi
Belanja Modal
Belanja Modal Tanah
1.
Belanja Peralatan dan Mesin
2.
Belanja Gedung dan Bangunan
3.
Belanja Jalan, Irigasi, dan Jaringan
4.
Belanja Modal Lainnya
5.
Belanja Modal BLU
6.
Jumlah Belanja Modal

JUMLAH BELANJA

B.2

B.3
B.4

B.5
B.5.1
B.5.2
B.5.3
B.5.4
B.5.5
B.5.6"
